"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.000, 3.005, 0.000, 3.005, 0.000, 3.007, 3.007
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.001, 0.000, 0.001, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001
